明日,あした,ngày mai,danh từ
毎日,まいにち,mỗi ngày,trạng từ
毎朝,まいあさ,mỗi sáng,trạng từ
毎晩,まいばん,mỗi tối,trạng từ
時間,じかん,thời gian,danh từ
分,ふん,phút,danh từ
時,じ,giờ,danh từ
秒,びょう,giây,danh từ
午前,ごぜん,buổi sáng (trước 12h),danh từ
午後,ごご,buổi chiều (sau 12h),danh từ
朝ご飯,あさごはん,bữa sáng,danh từ
昼ご飯,ひるごはん,bữa trưa,danh từ
晩ご飯,ばんごはん,bữa tối,danh từ
食べる,たべる,ăn,động từ
飲む,のむ,uống,động từ
起きる,おきる,thức dậy,động từ
寝る,ねる,ngủ,động từ
働く,はたらく,làm việc,động từ
勉強する,べんきょうする,học tập,động từ
学校,がっこう,trường học,danh từ
会社,かいしゃ,công ty,danh từ
家,いえ,nhà,danh từ
部屋,へや,phòng,danh từ
机,つくえ,bàn,danh từ
椅子,いす,ghế,danh từ
本,ほん,sách,danh từ
新聞,しんぶん,báo,danh từ
雑誌,ざっし,tạp chí,danh từ
ノート,ノート,vở ghi,danh từ
鉛筆,えんぴつ,bút chì,danh từ
ペン,ペン,bút mực,danh từ
消しゴム,けしゴム,gôm tẩy,danh từ
時計,とけい,đồng hồ,danh từ
電話,でんわ,điện thoại,danh từ
携帯電話,けいたいでんわ,điện thoại di động,danh từ
パソコン,パソコン,máy tính,danh từ
テレビ,テレビ,tivi,danh từ
冷蔵庫,れいぞうこ,tủ lạnh,danh từ
洗濯機,せんたくき,máy giặt,danh từ
掃除する,そうじする,dọn dẹp,động từ
洗う,あらう,rửa,động từ
使う,つかう,sử dụng,động từ
買う,かう,mua,động từ
売る,うる,bán,động từ
店,みせ,cửa hàng,danh từ
スーパー,スーパー,siêu thị,danh từ
コンビニ,コンビニ,cửa hàng tiện lợi,danh từ
レストラン,レストラン,nhà hàng,danh từ
料理,りょうり,"món ăn, việc nấu ăn",danh từ
作る,つくる,"làm, chế tạo",động từ
食べ物,たべもの,thức ăn,danh từ
飲み物,のみもの,đồ uống,danh từ
果物,くだもの,trái cây,danh từ
野菜,やさい,rau,danh từ
肉,にく,thịt,danh từ
魚,さかな,cá,danh từ
卵,たまご,trứng,danh từ
水,みず,nước,danh từ
お茶,おちゃ,trà,danh từ
牛乳,ぎゅうにゅう,sữa,danh từ
ジュース,ジュース,nước trái cây,danh từ
朝食,ちょうしょく,bữa sáng,danh từ
昼食,ちゅうしょく,bữa trưa,danh từ
夕食,ゆうしょく,bữa tối,danh từ
食堂,しょくどう,nhà ăn,danh từ
台所,だいどころ,nhà bếp,danh từ
風呂,ふろ,bồn tắm,danh từ
トイレ,トイレ,nhà vệ sinh,danh từ
歯,は,răng,danh từ
歯を磨く,はをみがく,đánh răng,động từ
顔を洗う,かおをあらう,rửa mặt,động từ
シャワーを浴びる,シャワーをあびる,tắm vòi sen,động từ
着る,きる,mặc (áo),động từ
脱ぐ,ぬぐ,"cởi (áo, giày…)",động từ
靴,くつ,giày,danh từ
靴下,くつした,"vớ, tất",danh từ
服,ふく,quần áo,danh từ
帽子,ぼうし,mũ,danh từ
傘,かさ,"ô, dù",danh từ
天気,てんき,thời tiết,danh từ
雨,あめ,mưa,danh từ
雪,ゆき,tuyết,danh từ
風,かぜ,gió,danh từ
晴れ,はれ,trời nắng,danh từ
曇り,くもり,trời mây,danh từ
寒い,さむい,lạnh,tính từ
暑い,あつい,nóng (thời tiết),tính từ
熱い,あつい,nóng (vật),tính từ
冷たい,つめたい,"lạnh (vật, người)",tính từ
忙しい,いそがしい,bận rộn,tính từ
楽しい,たのしい,vui vẻ,tính từ
うれしい,うれしい,vui mừng,tính từ
悲しい,かなしい,buồn,tính từ
学校,がっこう,Trường học,Danh từ
先生,せんせい,Giáo viên,Danh từ
学生,がくせい,Học sinh,Danh từ
教室,きょうしつ,Lớp học,Danh từ
本,ほん,Sách,Danh từ
鉛筆,えんぴつ,Bút chì,Danh từ
机,つくえ,Bàn,Danh từ
椅子,いす,Ghế,Danh từ
黒板,こくばん,Bảng đen,Danh từ
教科書,きょうかしょ,Sách giáo khoa,Danh từ
勉強,べんきょう,Học tập,Danh từ
試験,しけん,Kỳ thi,Danh từ
質問,しつもん,Câu hỏi,Danh từ
答え,こたえ,Câu trả lời,Danh từ
紙,かみ,Giấy,Danh từ
ノート,ノート,Vở,Danh từ
本棚,ほんだな,Kệ sách,Danh từ
時計,とけい,Đồng hồ,Danh từ
教える,おしえる,Dạy,Động từ
習う,ならう,Học,Động từ
読む,よむ,Đọc,Động từ
書く,かく,Viết,Động từ
聞く,きく,Nghe,Động từ
話す,はなす,Nói,Động từ
見る,みる,Nhìn,Động từ
覚える,おぼえる,Ghi nhớ,Động từ
忘れる,わすれる,Quên,Động từ
開ける,あける,Mở,Động từ
閉める,しめる,Đóng,Động từ
入る,はいる,Vào,Động từ
出る,でる,Ra,Động từ
立つ,たつ,Đứng,Động từ
座る,すわる,Ngồi,Động từ
消す,けす,Tắt,Động từ
点ける,つける,Bật,Động từ
描く,かく,Vẽ,Động từ
作文,さくぶん,Bài văn,Danh từ
図書館,としょかん,Thư viện,Danh từ
練習,れんしゅう,Luyện tập,Danh từ
宿題,しゅくだい,Bài tập về nhà,Danh từ
算数,さんすう,Toán học,Danh từ
数学,すうがく,Toán,Danh từ
英語,えいご,Tiếng Anh,Danh từ
日本語,にほんご,Tiếng Nhật,Danh từ
国語,こくご,Quốc ngữ,Danh từ
理科,りか,Khoa học tự nhiên,Danh từ
社会,しゃかい,Xã hội học,Danh từ
音楽,おんがく,Âm nhạc,Danh từ
体育,たいいく,Thể dục,Danh từ
歴史,れきし,Lịch sử,Danh từ
漢字,かんじ,Chữ Hán,Danh từ
ひらがな,ひらがな,Hiragana,Danh từ
カタカナ,カタカナ,Katakana,Danh từ
字,じ,Chữ,Danh từ
文,ぶん,Câu,Danh từ
文法,ぶんぽう,Ngữ pháp,Danh từ
単語,たんご,Từ vựng,Danh từ
意味,いみ,Nghĩa,Danh từ
例,れい,Ví dụ,Danh từ
答える,こたえる,Trả lời,Động từ
教科,きょうか,Môn học,Danh từ
授業,じゅぎょう,Tiết học,Danh từ
試す,ためす,Thử,Động từ
卒業,そつぎょう,Tốt nghiệp,Động từ
入学,にゅうがく,Nhập học,Động từ
大学,だいがく,Đại học,Danh từ
高校,こうこう,Trung học phổ thông,Danh từ
中学校,ちゅうがっこう,Trung học cơ sở,Danh từ
小学校,しょうがっこう,Tiểu học,Danh từ
幼稚園,ようちえん,Mẫu giáo,Danh từ
部活,ぶかつ,Câu lạc bộ,Danh từ
図形,ずけい,Hình dạng,Danh từ
線,せん,Đường thẳng,Danh từ
色,いろ,Màu sắc,Danh từ
絵,え,Tranh vẽ,Danh từ
文を書く,ぶんをかく,Viết câu,Cụm từ
本を読む,ほんをよむ,Đọc sách,Cụm từ
質問する,しつもんする,Đặt câu hỏi,Cụm từ
答えを書く,こたえをかく,Viết câu trả lời,Cụm từ
練習する,れんしゅうする,Luyện tập,Cụm từ
研究,けんきゅう,Nghiên cứu,Danh từ
科学,かがく,Khoa học,Danh từ
実験,じっけん,Thí nghiệm,Danh từ
先生に聞く,せんせいにきく,Hỏi thầy cô,Cụm từ
学生生活,がくせいせいかつ,Đời sống học sinh,Danh từ
友達,ともだち,Bạn bè,Danh từ
勉強する,べんきょうする,Học hành,Động từ
努力する,どりょくする,Nỗ lực,Động từ
試験を受ける,しけんをうける,Thi cử,Cụm từ
成績,せいせき,Thành tích,Danh từ
教室に入る,きょうしつにはいる,Vào lớp,Cụm từ
授業を受ける,じゅぎょうをうける,Tham dự tiết học,Cụm từ
宿題をする,しゅくだいをする,Làm bài tập,Cụm từ
黒板を見る,こくばんをみる,Nhìn bảng,Cụm từ
本を開く,ほんをひらく,Mở sách,Cụm từ
答えを言う,こたえをいう,Nói đáp án,Cụm từ
問題,もんだい,Vấn đề,Danh từ
発表,はっぴょう,Thuyết trình,Danh từ
説明,せつめい,Giải thích,Danh từ
宿題を出す,しゅくだいをだす,Nộp bài tập,Cụm từ
時間,じかん,Thời gian,Danh từ
分,ふん,Phút,Danh từ
秒,びょう,Giây,Danh từ
日,にち,Ngày,Danh từ
週,しゅう,Tuần,Danh từ
月,つき,Tháng,Danh từ
年,とし,Năm,Danh từ
今日,きょう,Hôm nay,Danh từ
昨日,きのう,Hôm qua,Danh từ
明日,あした,Ngày mai,Danh từ
今週,こんしゅう,Tuần này,Danh từ
来週,らいしゅう,Tuần sau,Danh từ
先週,せんしゅう,Tuần trước,Danh từ
今月,こんげつ,Tháng này,Danh từ
来月,らいげつ,Tháng sau,Danh từ
先月,せんげつ,Tháng trước,Danh từ
今年,ことし,Năm nay,Danh từ
来年,らいねん,Năm sau,Danh từ
去年,きょねん,Năm ngoái,Danh từ
曜日,ようび,Thứ trong tuần,Danh từ
月曜日,げつようび,Thứ hai,Danh từ
火曜日,かようび,Thứ ba,Danh từ
水曜日,すいようび,Thứ tư,Danh từ
木曜日,もくようび,Thứ năm,Danh từ
金曜日,きんようび,Thứ sáu,Danh từ
土曜日,どようび,Thứ bảy,Danh từ
日曜日,にちようび,Chủ nhật,Danh từ
朝,あさ,Buổi sáng,Danh từ
昼,ひる,Buổi trưa,Danh từ
夜,よる,Buổi tối,Danh từ
午前,ごぜん,Buổi sáng (trước 12h),Danh từ
午後,ごご,Buổi chiều (sau 12h),Danh từ
今,いま,Bây giờ,Danh từ
前,まえ,Trước,Danh từ
後,あと,Sau,Danh từ
毎日,まいにち,Mỗi ngày,Danh từ
毎週,まいしゅう,Mỗi tuần,Danh từ
毎月,まいつき,Mỗi tháng,Danh từ
毎年,まいとし,Mỗi năm,Danh từ
毎朝,まいあさ,Mỗi sáng,Danh từ
毎晩,まいばん,Mỗi tối,Danh từ
時々,ときどき,Thỉnh thoảng,Danh từ
いつ,いつ,Khi nào,Danh từ
もうすぐ,もうすぐ,Sắp,Danh từ
今朝,けさ,Sáng nay,Danh từ
今晩,こんばん,Tối nay,Danh từ
昨夜,ゆうべ,Tối qua,Danh từ
先ほど,さきほど,Lúc nãy,Danh từ
あとで,あとで,Sau đó,Danh từ
さっき,さっき,Vừa nãy,Danh từ
すぐ,すぐ,Ngay lập tức,Danh từ
ゆっくり,ゆっくり,Chậm rãi,Danh từ
早い,はやい,Sớm,Danh từ
遅い,おそい,Muộn,Danh từ
始まる,はじまる,Bắt đầu,Danh từ
終わる,おわる,Kết thúc,Danh từ
続く,つづく,Tiếp tục,Danh từ
予定,よてい,Dự định,Danh từ
約束,やくそく,Hẹn,Danh từ
時間割,じかんわり,Thời khóa biểu,Danh từ
カレンダー,カレンダー,Lịch,Danh từ
時計,とけい,Đồng hồ,Danh từ
秒針,びょうしん,Kim giây,Danh từ
時間がある,じかんがある,Có thời gian,Danh từ
時間がない,じかんがない,Không có thời gian,Danh từ
朝ご飯,あさごはん,Bữa sáng,Danh từ
昼ご飯,ひるごはん,Bữa trưa,Danh từ
晩ご飯,ばんごはん,Bữa tối,Danh từ
今夜,こんや,Tối nay,Danh từ
夕方,ゆうがた,Chiều tối,Danh từ
午後三時,ごごさんじ,Ba giờ chiều,Danh từ
午前七時,ごぜんしちじ,Bảy giờ sáng,Danh từ
一日,ついたち,Ngày mồng một,Danh từ
二日,ふつか,Ngày mồng hai,Danh từ
三日,みっか,Ngày mồng ba,Danh từ
四日,よっか,Ngày mồng bốn,Danh từ
五日,いつか,Ngày mồng năm,Danh từ
六日,むいか,Ngày mồng sáu,Danh từ
七日,なのか,Ngày mồng bảy,Danh từ
八日,ようか,Ngày mồng tám,Danh từ
九日,ここのか,Ngày mồng chín,Danh từ
十日,とおか,Ngày mồng mười,Danh từ
二十日,はつか,Ngày hai mươi,Danh từ
三十日,さんじゅうにち,Ngày ba mươi,Danh từ
何日,なんにち,Ngày bao nhiêu,Danh từ
何時,なんじ,Mấy giờ,Danh từ
何曜日,なんようび,Thứ mấy,Danh từ
季節,きせつ,Mùa,Danh từ
春,はる,Mùa xuân,Danh từ
夏,なつ,Mùa hè,Danh từ
秋,あき,Mùa thu,Danh từ
冬,ふゆ,Mùa đông,Danh từ
一年,いちねん,Một năm,Danh từ
一週間,いっしゅうかん,Một tuần,Danh từ
一ヶ月,いっかげつ,Một tháng,Danh từ
一時間,いちじかん,Một giờ,Danh từ
一分,いっぷん,Một phút,Danh từ
一秒,いちびょう,Một giây,Danh từ
午前中,ごぜんちゅう,Buổi sáng,Danh từ
午後中,ごごちゅう,Buổi chiều,Danh từ
家族,かぞく,Gia đình,Danh từ
父,ちち,Cha,Danh từ
母,はは,Mẹ,Danh từ
兄,あに,Anh trai,Danh từ
姉,あね,Chị gái,Danh từ
弟,おとうと,Em trai,Danh từ
妹,いもうと,Em gái,Danh từ
夫,おっと,Chồng,Danh từ
妻,つま,Vợ,Danh từ
子供,こども,Trẻ con,Danh từ
赤ちゃん,あかちゃん,Em bé,Danh từ
友達,ともだち,Bạn bè,Danh từ
先生,せんせい,Giáo viên,Danh từ
学生,がくせい,Học sinh,Danh từ
人,ひと,Người,Danh từ
男,おとこ,Đàn ông,Danh từ
女,おんな,Phụ nữ,Danh từ
大人,おとな,Người lớn,Danh từ
子ども,こども,Trẻ em,Danh từ
名前,なまえ,Tên,Danh từ
有名,ゆうめい,Nổi tiếng,Danh từ
外国人,がいこくじん,Người nước ngoài,Danh từ
日本人,にほんじん,Người Nhật,Danh từ
友人,ゆうじん,Bạn thân,Danh từ
家内,かない,Vợ (cách nói khiêm nhường),Danh từ
親,おや,Cha mẹ,Danh từ
おじ,おじ,Chú,Danh từ
おば,おば,Cô,Danh từ
叔父,おじ,Chú (trẻ),Danh từ
叔母,おば,Cô (trẻ),Danh từ
祖父,そふ,Ông,Danh từ
祖母,そぼ,Bà,Danh từ
孫,まご,Cháu,Danh từ
夫婦,ふうふ,Vợ chồng,Danh từ
親戚,しんせき,Họ hàng,Danh từ
恋人,こいびと,Người yêu,Danh từ
彼氏,かれし,Bạn trai,Danh từ
彼女,かのじょ,Bạn gái,Danh từ
同僚,どうりょう,Đồng nghiệp,Danh từ
上司,じょうし,Cấp trên,Danh từ
部下,ぶか,Cấp dưới,Danh từ
隣,となり,Hàng xóm,Danh từ
知り合い,しりあい,Người quen,Danh từ
初めて,はじめて,Lần đầu tiên,Danh từ
自己紹介,じこしょうかい,Giới thiệu bản thân,Danh từ
住所,じゅうしょ,Địa chỉ,Danh từ
電話番号,でんわばんごう,Số điện thoại,Danh từ
生年月日,せいねんがっぴ,Ngày sinh,Danh từ
年齢,ねんれい,Tuổi,Danh từ
趣味,しゅみ,Sở thích,Danh từ
仕事,しごと,Công việc,Danh từ nghề nghiệp
会社員,かいしゃいん,Nhân viên công ty,Danh từ nghề nghiệp
店員,てんいん,Nhân viên cửa hàng,Danh từ nghề nghiệp
医者,いしゃ,Bác sĩ,Danh từ nghề nghiệp
看護師,かんごし,Y tá,Danh từ nghề nghiệp
先生,せんせい,Giáo viên,Danh từ nghề nghiệp
学生,がくせい,Học sinh,Danh từ nghề nghiệp
警察官,けいさつかん,Cảnh sát,Danh từ nghề nghiệp
運転手,うんてんしゅ,Tài xế,Danh từ nghề nghiệp
料理人,りょうりにん,Đầu bếp,Danh từ nghề nghiệp
郵便屋,ゆうびんや,Người đưa thư,Danh từ nghề nghiệp
消防士,しょうぼうし,Lính cứu hỏa,Danh từ nghề nghiệp
歌手,かしゅ,Ca sĩ,Danh từ nghề nghiệp
俳優,はいゆう,Diễn viên,Danh từ nghề nghiệp
農家,のうか,Nông dân,Danh từ nghề nghiệp
大工,だいく,Thợ mộc,Danh từ nghề nghiệp
主婦,しゅふ,Nội trợ,Danh từ nghề nghiệp
美容師,びようし,Thợ làm tóc,Danh từ nghề nghiệp
画家,がか,Họa sĩ,Danh từ nghề nghiệp
作家,さっか,Nhà văn,Danh từ nghề nghiệp
科学者,かがくしゃ,Nhà khoa học,Danh từ nghề nghiệp
社長,しゃちょう,Giám đốc,Danh từ nghề nghiệp
店長,てんちょう,Quản lý cửa hàng,Danh từ nghề nghiệp
先生,せんせい,Giáo viên,Danh từ nghề nghiệp
秘書,ひしょ,Thư ký,Danh từ nghề nghiệp
銀行員,ぎんこういん,Nhân viên ngân hàng,Danh từ nghề nghiệp
通訳,つうやく,Thông dịch viên,Danh từ nghề nghiệp
翻訳者,ほんやくしゃ,Biên dịch viên,Danh từ nghề nghiệp
写真家,しゃしんか,Nhiếp ảnh gia,Danh từ nghề nghiệp
音楽家,おんがくか,Nhạc sĩ,Danh từ nghề nghiệp
友だち,ともだち,Bạn bè,Tính từ
先輩,せんぱい,Đàn anh,Tính từ
後輩,こうはい,Đàn em,Tính từ
上手,じょうず,Giỏi,Tính từ
下手,へた,Kém,Tính từ
人気,にんき,Phổ biến,Tính từ
優しい,やさしい,Dịu dàng,Tính từ
親切,しんせつ,Tốt bụng,Tính từ
真面目,まじめ,Chăm chỉ,Tính từ
元気,げんき,Khỏe mạnh,Tính từ
静か,しずか,Yên tĩnh,Tính từ
にぎやか,にぎやか,Nhộn nhịp,Tính từ
明るい,あかるい,Sáng sủa,Tính từ
暗い,くらい,Tối tăm,Tính từ
忙しい,いそがしい,Bận rộn,Tính từ
暇,ひま,Rảnh rỗi,Tính từ
背,せ,Chiều cao,Tính từ
顔,かお,Khuôn mặt,Tính từ
笑顔,えがお,Nụ cười,Tính từ
涙,なみだ,Nước mắt,Tính từ
本,ほん,Sách,Danh từ
鉛筆,えんぴつ,Bút chì,Danh từ
ペン,ぺん,Bút,Danh từ
ノート,のーと,Vở,Danh từ
紙,かみ,Giấy,Danh từ
手紙,てがみ,Thư,Danh từ
新聞,しんぶん,Báo,Danh từ
雑誌,ざっし,Tạp chí,Danh từ
教科書,きょうかしょ,Sách giáo khoa,Danh từ
辞書,じしょ,Từ điển,Danh từ
机,つくえ,Bàn,Danh từ
椅子,いす,Ghế,Danh từ
ベッド,べっど,Giường,Danh từ
布団,ふとん,Chăn,Danh từ
枕,まくら,Gối,Danh từ
窓,まど,Cửa sổ,Danh từ
ドア,どあ,Cửa ra vào,Danh từ
鍵,かぎ,Chìa khóa,Danh từ
電気,でんき,Điện,Danh từ
エアコン,えあこん,Máy lạnh,Danh từ
テレビ,てれび,Tivi,Danh từ
冷蔵庫,れいぞうこ,Tủ lạnh,Danh từ
洗濯機,せんたくき,Máy giặt,Danh từ
電子レンジ,でんしれんじ,Lò vi sóng,Danh từ
時計,とけい,Đồng hồ,Danh từ
カメラ,かめら,Máy ảnh,Danh từ
電話,でんわ,Điện thoại,Danh từ
コンピュータ,こんぴゅーた,Máy tính,Danh từ
パソコン,ぱそこん,Máy tính cá nhân,Danh từ
ラジオ,らじお,Radio,Danh từ
バッグ,ばっぐ,Túi xách,Danh từ
財布,さいふ,Ví tiền,Danh từ
靴,くつ,Giày,Danh từ
靴下,くつした,Vớ,Danh từ
服,ふく,Quần áo,Danh từ
シャツ,しゃつ,Áo sơ mi,Danh từ
ズボン,ずぼん,Quần,Danh từ
スカート,すかーと,Váy,Danh từ
帽子,ぼうし,Mũ,Danh từ
眼鏡,めがね,Kính,Danh từ
傘,かさ,Ô,Danh từ
鞄,かばん,Cặp,Danh từ
指輪,ゆびわ,Nhẫn,Danh từ
時計,とけい,Đồng hồ,Danh từ
ネクタイ,ねくたい,Cà vạt,Danh từ
コート,こーと,Áo khoác,Danh từ
ハンカチ,はんかち,Khăn tay,Danh từ
タオル,たおる,Khăn tắm,Danh từ
鏡,かがみ,Gương,Danh từ
石鹸,せっけん,Xà phòng,Danh từ
歯ブラシ,はぶらし,Bàn chải đánh răng,Danh từ
歯磨き粉,はみがきこ,Kem đánh răng,Danh từ
シャンプー,しゃんぷー,Dầu gội,Danh từ
リンス,りんす,Dầu xả,Danh từ
ドライヤー,どらいやー,Máy sấy tóc,Danh từ
テーブル,てーぶる,Bàn,Danh từ
皿,さら,Đĩa,Danh từ
コップ,こっぷ,Cốc,Danh từ
箸,はし,Đũa,Danh từ
フォーク,ふぉーく,Nĩa,Danh từ
スプーン,すぷーん,Thìa,Danh từ
包丁,ほうちょう,Dao,Danh từ
鍋,なべ,Nồi,Danh từ
フライパン,ふらいぱん,Chảo,Danh từ
冷凍庫,れいとうこ,Ngăn đá,Danh từ
掃除機,そうじき,Máy hút bụi,Danh từ
ごみ箱,ごみばこ,Thùng rác,Danh từ
カーテン,かーてん,Rèm cửa,Danh từ
ライト,らいと,Đèn,Danh từ
棚,たな,Kệ,Danh từ
壁,かべ,Tường,Danh từ
床,ゆか,Sàn,Danh từ
天井,てんじょう,Trần nhà,Danh từ
庭,にわ,Vườn,Danh từ
ベランダ,べらんだ,Ban công,Danh từ
玄関,げんかん,Cửa ra vào,Danh từ
トイレ,といれ,Nhà vệ sinh,Danh từ
風呂,ふろ,Phòng tắm,Danh từ
台所,だいどころ,Nhà bếp,Danh từ
部屋,へや,Phòng,Danh từ
寝室,しんしつ,Phòng ngủ,Danh từ
居間,いま,Phòng khách,Danh từ
食堂,しょくどう,Nhà ăn,Danh từ
窓,まど,Cửa sổ,Danh từ
机,つくえ,Bàn,Danh từ
椅子,いす,Ghế,Danh từ
ベッド,べっど,Giường,Danh từ
絵,え,Tranh,Danh từ
写真,しゃしん,Ảnh,Danh từ
時計,とけい,Đồng hồ,Danh từ
テレビ,てれび,Tivi,Danh từ
本棚,ほんだな,Kệ sách,Danh từ
電話,でんわ,Điện thoại,Danh từ
コンセント,こんせんと,Ổ cắm,Danh từ
電池,でんち,Pin,Danh từ
スイッチ,すいっち,Công tắc,Danh từ
ポスター,ぽすたー,Áp phích,Danh từ
カレンダー,かれんだー,Lịch,Danh từ
新聞,しんぶん,Báo,Danh từ
雑誌,ざっし,Tạp chí,Danh từ
駅,えき,Nhà ga,Danh từ
空港,くうこう,Sân bay,Danh từ
バス停,ばすてい,Trạm xe buýt,Danh từ
バス,ばす,Xe buýt,Danh từ
電車,でんしゃ,Tàu điện,Danh từ
地下鉄,ちかてつ,Tàu điện ngầm,Danh từ
自転車,じてんしゃ,Xe đạp,Danh từ
車,くるま,Ô tô,Danh từ
タクシー,たくしー,Taxi,Danh từ
船,ふね,Thuyền,Danh từ
飛行機,ひこうき,Máy bay,Danh từ
信号,しんごう,Đèn giao thông,Danh từ
交差点,こうさてん,Ngã tư,Danh từ
道,みち,Con đường,Danh từ
橋,はし,Cầu,Danh từ
トンネル,とんねる,Hầm,Danh từ
バス乗り場,ばすのりば,Bến xe buýt,Danh từ
停留所,ていりゅうじょ,Trạm dừng,Danh từ
地図,ちず,Bản đồ,Danh từ
切符,きっぷ,Vé,Danh từ
入口,いりぐち,Lối vào,Danh từ
出口,でぐち,Lối ra,Danh từ
左,ひだり,Trái,Danh từ
右,みぎ,Phải,Danh từ
前,まえ,Trước,Danh từ
後ろ,うしろ,Sau,Danh từ
近く,ちかく,Gần,Danh từ
遠く,とおく,Xa,Danh từ
中,なか,Trong,Danh từ
外,そと,Ngoài,Danh từ
上,うえ,Trên,Danh từ
下,した,Dưới,Danh từ
東,ひがし,Đông,Danh từ
西,にし,Tây,Danh từ
南,みなみ,Nam,Danh từ
北,きた,Bắc,Danh từ
角,かど,Góc,Danh từ
信号機,しんごうき,Đèn tín hiệu,Danh từ
横断歩道,おうだんほどう,Vạch qua đường,Danh từ
道路,どうろ,Đường bộ,Danh từ
公園,こうえん,Công viên,Danh từ
学校,がっこう,Trường học,Danh từ
病院,びょういん,Bệnh viện,Danh từ
銀行,ぎんこう,Ngân hàng,Danh từ
郵便局,ゆうびんきょく,Bưu điện,Danh từ
図書館,としょかん,Thư viện,Danh từ
スーパー,すーぱー,Siêu thị,Danh từ
デパート,でぱーと,Trung tâm thương mại,Danh từ
